Code,Attraction_Name,Subtitle,Description,Description_Secret,People_History,People_Secret,Suggestion_See,Suggestion_Secret_Do,Money,Money_Secret,Time,Time_Secret,img_path1,img_path,img_path,address
69,Rendez Vous,"For 31 years, Rendez Vous Bakery has been offering delightful snacks and sweets to locals and tourists. ","All Rendez Vous specialties, by our chef Dimitris Papadopoulos, are based on quality, local ingredients , such as milk, eggs, butter, cream and fresh fruits from Naxos Island.
You can find Rendez Vous in two different locations in Naxos town: one at the port road and one at the airport road.
You can enjoy coffee or refreshments and try our delicacies. Don't miss out on tasting from the great selection of our traditional sweets and snacks.
Alternatively, you can choose to enjoy our snacks as take-away, or request delivery at your hotel by calling +30 22850 23858 . ",,"Locals, teenagers, families, tourists",,Enjoy your coffee or sweet watching the beautiful Aegean.. ," Don't miss out on tasting from the great selection of our traditional sweets and snacks. Like  
- Snacks: Pies, Croissants, Sandwiches, Baguettes, Toasts
- Sweets: Desserts, Cakes, Ice Cream, Cookies, Waffles, Crepes, Donuts
- Variety of coffees, Hot and Cold Beverages
- For Breakfast: Omelet's, Salads, Yogurt, fruit - Salads
- Granite, Milk Shakes, Smoothies
- Drinks and Cocktails",,,all day and night,,images/rantevou.jpg,images/rantevou.jpg,images/rantevou.jpg, Petrou Protopapadaki(between Eurobank and National bank), Naxos 843 00
70,Agia Anna Beach,One of the busiest beaches of Naxos,"Agia Anna is one of the busiest beaches of Naxos and is actually a continuation of the beach of Agios Prokopios. The long secluded sandy beach with the small picturesque port that now only hosts fishing boats and provides the wonderful view which has been a centre of attraction for tourists for decades.

Being only 6.3 kilometres from Naxos Town (all of which are asphalt) it is very easy to access by car, motorbike, bicycle or public transportation which is regular during the entire summer season. The coastal road passes right next to the beach.","The beach offers many umbrellas and sun-beds throughout its length and it is one of the best organized beaches of Naxos. You can find just about anything at Aghia Anna beach. There are many accommodation units in the greater area such as hotels, apartments, rooms and beachfront hotels. There is also a plentiful taverns, beachfront restaurants cafés and beach bars some of which with great view of the beach and the eastern side of Paros. ",All ages and people,Crowded beach during most seasons, Get the chance to admire its natural beauty. ,"The northern part of the beach sometimes gets choppy waters and then is when it is truly beautiful. However, the small cove next to Agia Anna’s small port is well protected by the winds and usually very calm so ideal for a nice swim even with the strongest winds. ",Free,,,,images/agia anna.jpg,images/agia anna.jpg,images/agia anna.jpg,"37.067309,25.3558362"
71,Halki village,Its glorious past is apparent in its architecture,"Halki (Chalki) village used to be the capital of the island as well as its main administrative and trade centre. It is located in the centre of Naxos, 16 km from Hora, or Naxos Town in the central area of the valley of Tragea and is now the administrative centre of the municipality of Drimalia. The region of Tragea is the principal olive cultivation area of the Cyclades. It is speculated that Halki’s name is derived from a family of bronze smiths who were settled in the region by the Venetians (Greek - Chalkos = Bronze). ",,"Halki has a long history and the numerous neoclassical houses and buildings are testimony to the wealth and power the village once exerted in the surrounding area. Apart from the lovely old mansions and the picturesque churches, the village itself has colorful alleys that give visitors the sense that they have somehow gone back in time. Many well preserved houses, Venetian Towers and fine Byzantine churches can be found in the area. One of these is amongst Naxos’ oldest churches, the Church of Panagia (the Virgin), dating from the 9th century with some beautiful Byzantine and post-Byzantine frescoes. ",,"It is a very fertile area of Naxos and in conjunction with the olive groves that cover many square kilometers, the “Citron” tree from which the famous Naxian liqueur is produced, is everywhere to be seen. ",Visit the Kitron Museum. (The mansion of the Vallindra Kitron distillery is at the heart of the village and can be entered gratis.),,,,,images/halki.jpg,images/halki.jpg,images/halki.jpg,"37.0639064,25.482024"
72,Filoti village,Amphitheatrically built on the steep slopes of Mount Zas,"Even though today it is one village, it is in fact comprised of three smaller settlements Liiri, Klefaro and Rachidi. The population totals about 1,800 which make it the largest village in numbers on Naxos and the Cyclades in general. The village is situated 18km from the capital of Naxos. It is a traditional Cycladic village built amphitheatrically on the slopes of mount Zas, with whitewashed, flat roofed houses and narrow heavily flowered streets. The inhabitants use their roofs as balconies or terraces for the warm summer months. The main street is the centre of village life in terms of café and restaurants. The little paved square named Gefyra (Greek - bridge), is surrounded by picturesque “kafenia” (Greek traditional cafes) also serving ouzo and snacks and a number of taverns and retail outlets, all shadowed by a huge, majestic plane tree allowing for a cool breeze. ","One of the most famous and beautiful villages of the island is Filoti in the Tragea region, which is well-known for its olive groves and little Byzantine churches, both of which are also found in the village. Filoti’s name is ancient and believed to be of Ionian origin. ","The church Panagia (Virgin Mary) Filotitissa is located here. Standing tall, a little further down the road, the Barozzi Tower is a striking remnant of the island’s lengthy period of Venetian rule. Next to the tower, a marble wall with an inset marble tap has constantly running spring water and is accompanied by an inscription dating back to King Otto (Greek - Othon), who reigned from 1832 to 1862. He was and was the first king imposed on modern age Greece (Post Hellenic Revolution) and was of Bavarian descent. Rachidi, the village’s other main neighborhood, is on the uphill route south of the tower. ","Roughly 60,000 sheep are reared in this area so the village is well-known for the excellent quality of its livestock products, such as lamb and goat’s meat and a wide variety of cheese products (anthotyro, arseniko, kefalotyri, myzithra and xinotyro), while a cooperative of local women produce and sell homemade sweet preserves (Greek - Glyka koutaliou). ","Interesting sights in Filoti’s surrounding area include the fountain of Arion, on Zas mountain’s slope, the Zas cave where Zeus was born according to mythology, Chimarros tower on the road to Kalandos, as well as numerous Byzantine chapels with original frescoes. ","The main attractions are of course the breathtaking amphitheatric view of the mountains, the relaxing climate and surroundings and the opportunity to stroll through the village’s picturesque alleys. The surrounding impressive summits have two openings, one toward Tragea in the west, the other toward the local livestock farms in the south. ",,,,,images/filoti.jpg,images/filoti.jpg,images/filoti.jpg,"37.0518785,25.4889467"
73,Damarionas village,In between olive groves and lush vineyards,"
Damarionas is a traditional village on Naxos. The village is considered mountainous although it is only at an altitude of 230 meters. It is a beautiful settlement built on the south side of the sunny Tragea valley. ","In the village stand the mansions' “Prompona”, “Vasilikoulas” and “Bakalainas”, the beautiful “Square of Potirou” with a huge and very old plane tree and the old churches of Christ and St. George in the Patelou square. ","The village apparently acquired its name from Damaris the Athenian who was amongst the very first to accept Christianity and passed it on to the settlement who honored her by naming the village after her.
It is estimated that the first inhabitants of Damarionas actually inhabited the coastal area of Agiassos, but the prevalent fear of the pirates, forced them to migrate inland, originally in the area of Roalidia, on the slopes of the Castle of Apaliros and later, around 1400, to their current location.
In 1981 the population of this lovely village was 522 and only ten years later in 1991 it was down to 313. Today it numbers around 350. This is a phenomenon occurring everywhere in Greece since the nature of available work has changed. ",,n Damarionas there is also the “Androniki” Spiritual and Cultural Center that serves as a space for meetings and conferences. ,"Damarionas is also home to many picturesque early Christian chapels in the greater area of Baouzi as well as the famous early Christian church of “Kaloritsa”, built in a cave on the western side of mount Ai Lias (St. Elias - Elijah). ",,,,,images/damarionas.jpg,images/damarionas.jpg,images/damarionas.jpg,"37.0527913,25.47806"
74,Apeiranthos village,The mountainous village of timeless beauty,"Amphitheatrically built at the slopes of Mount Fanari, it boasts magnificent views of the Naxian mountain ranges. As the locals say, while at Apeiranthos, there is no way of telling that you are, in fact, on an island. The feeling one gets is more that of a northern mainland Greece village than that of a Cycladic Island. This is partly due to its architecture and stone built houses but mainly due to its altitude, the centre of the village is located at approximately 600m from sea level. ","But its most impressive feature is its architecture. Stone built towers, old houses and churches, marble paved alleys, traditional small souvenir and local craftsmanship shops. It is a photographer’s paradise in all its glory… ","Apeiranthos village is by many considered the crown jewel of Naxos. Much of this belief is due to the fact that over the centuries it has managed to retain its unique authenticity which is apparent in every step you take, in every alley you walk and wherever you look. This is so not just because of the village and its uniqueness on the landscape of Naxos, but also for its nearly 1100 proud inhabitants who have kept their own distinct dialect where even a slightly trained ear reveals their true Cretan origin. ",,The altitude offers extraordinary views from its various restaurants serving the local produce and the café most of which overlook the surrounding peaks and valleys. ,"At Apeiranthos you will find not one or two but 5 museums:
the Apeiranthos Archaeological Museum
the Geological Museum
the Museum of Natural History
the Visual Arts Museum and
the Folklore Museum
all worth visiting. ",,,,,images/apeiranthos.jpg,images/apeiranthos.jpg,images/apeiranthos.jpg,"37.0708924,25.5159971"
75,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,
